



25	200




0	50.0	50.0	0.0
1	79.4	91.5	14.0
2	25.9	82.5	20.0
3	69.7	29.8	29.0
4	54.5	79.1	20.0
5	24.3	45.9	13.0
6	81.8	75.8	15.0
7	25.3	73.5	24.0
8	85.7	31.5	15.0
9	43.8	76.4	26.0
10	35.5	37.1	14.0
11	83.7	71.7	13.0
12	5.9	100.0	11.0
13	82.3	35.4	14.0
14	54.7	44.0	11.0
15	23.6	33.8	21.0
16	66.3	81.6	28.0
17	46.7	71.0	20.0
18	90.9	43.8	11.0
19	37.7	68.5	20.0
20	19.7	43.5	27.0
21	85.2	69.4	19.0
22	25.9	77.0	13.0
23	59.2	38.6	25.0
24	41.5	72.8	11.0
25	21.5	48.3	16.0
