



25	200




0	50.0	50.0	0.0
1	37.5	7.4	23.0
2	29.9	36.4	14.0
3	56.3	6.4	11.0
4	93.8	62.9	16.0
5	78.4	63.0	27.0
6	77.3	79.2	23.0
7	85.3	68.6	12.0
8	1.9	47.6	24.0
9	77.9	17.2	14.0
10	24.3	77.4	25.0
11	41.8	37.7	29.0
12	0.1	65.6	28.0
13	63.4	59.7	18.0
14	0.3	45.1	16.0
15	56.3	14.5	21.0
16	50.0	54.2	19.0
17	37.7	64.0	29.0
18	25.8	93.5	11.0
19	68.1	65.7	15.0
20	14.8	45.2	17.0
21	51.6	13.5	24.0
22	76.8	17.5	28.0
23	32.1	93.9	13.0
24	7.3	41.1	12.0
25	72.8	77.0	15.0
