



25	200




0	50.0	50.0	0.0
1	79.9	45.1	19.0
2	52.2	14.9	25.0
3	4.6	58.3	23.0
4	62.1	21.2	10.0
5	99.4	91.1	15.0
6	69.6	87.1	26.0
7	25.3	87.1	20.0
8	63.5	54.4	19.0
9	30.0	18.6	16.0
10	72.9	57.8	29.0
11	79.5	69.4	22.0
12	17.1	32.9	23.0
13	40.8	74.5	25.0
14	43.2	87.3	22.0
15	83.3	73.8	14.0
16	30.2	16.2	13.0
17	85.8	10.2	23.0
18	17.8	44.3	18.0
19	51.3	19.8	29.0
20	2.7	83.7	15.0
21	79.8	31.9	21.0
22	32.4	24.3	21.0
23	49.1	57.9	10.0
24	29.8	71.1	10.0
25	12.1	49.4	13.0
26	80.2	1.4	28.0
27	45.7	95.0	22.0
28	49.3	60.3	13.0
29	74.2	56.8	28.0
30	12.8	83.9	24.0
31	67.3	6.6	10.0
32	13.9	13.6	23.0
33	56.2	56.5	28.0
34	72.1	14.6	24.0
35	43.4	99.2	23.0
36	38.2	3.1	22.0
37	30.6	94.7	11.0
38	97.2	13.5	29.0
39	25.7	88.7	23.0
40	76.5	44.0	29.0
41	12.6	3.4	29.0
42	32.9	2.5	12.0
43	58.1	48.3	10.0
44	74.7	41.7	14.0
45	0.3	26.7	10.0
46	21.3	23.3	28.0
47	34.9	24.2	12.0
48	58.1	84.3	10.0
49	32.8	11.7	18.0
50	77.0	21.6	18.0
