



25	200




0	50.0	50.0	0.0
1	46.9	52.1	15.0
2	50.0	34.0	28.0
3	71.0	100.0	19.0
4	14.6	76.7	16.0
5	24.0	32.4	26.0
6	18.8	44.2	27.0
7	48.7	28.3	25.0
8	87.6	88.0	14.0
9	31.6	86.1	20.0
10	16.5	44.6	23.0
11	36.5	15.5	24.0
12	65.8	32.1	22.0
13	85.1	53.8	25.0
14	25.1	90.0	15.0
15	33.1	31.9	16.0
16	36.0	40.2	23.0
17	50.1	19.9	20.0
18	68.1	99.2	21.0
19	15.2	85.6	22.0
20	6.7	28.9	20.0
21	37.1	49.3	18.0
22	41.1	25.4	13.0
23	68.9	88.9	12.0
24	18.7	90.7	28.0
25	10.9	17.9	26.0
26	39.2	44.8	17.0
27	58.2	35.4	22.0
28	83.1	60.1	16.0
29	15.8	78.0	24.0
30	20.3	38.9	10.0
31	21.2	32.8	27.0
32	38.6	23.5	12.0
33	86.3	77.0	17.0
34	43.6	88.2	28.0
35	14.4	31.3	15.0
36	13.6	26.2	18.0
37	35.2	27.6	13.0
38	80.0	63.5	17.0
39	2.4	84.9	13.0
40	30.9	26.4	20.0
41	27.2	25.7	16.0
42	59.6	25.6	23.0
43	72.0	82.9	13.0
44	35.0	93.2	14.0
45	22.5	46.9	28.0
46	28.3	37.3	22.0
47	28.0	37.4	26.0
48	77.0	67.8	22.0
49	18.5	100.0	23.0
50	21.4	15.7	23.0
51	89.8	1.4	11.0
52	88.0	58.7	24.0
53	77.5	65.6	28.0
54	67.8	5.1	13.0
55	88.0	17.9	27.0
56	64.7	87.9	19.0
57	4.0	74.8	18.0
58	23.4	40.1	19.0
59	89.3	59.4	23.0
60	30.7	95.4	10.0
61	36.5	34.6	11.0
62	14.6	56.9	28.0
63	25.2	86.3	19.0
64	0.9	43.4	29.0
65	2.3	93.5	16.0
66	36.8	85.0	13.0
67	84.1	57.8	14.0
68	50.7	94.6	28.0
69	42.7	37.4	13.0
70	44.9	72.8	27.0
71	17.1	9.5	11.0
72	70.5	6.0	12.0
73	83.3	46.5	18.0
74	36.6	58.3	10.0
75	91.1	56.9	13.0
76	4.0	64.6	21.0
77	44.2	24.2	20.0
78	5.1	19.7	18.0
79	64.6	95.6	11.0
80	60.3	96.5	24.0
81	24.6	99.5	24.0
82	84.4	67.3	28.0
83	69.4	99.7	25.0
84	26.7	4.6	26.0
85	27.9	59.0	10.0
86	35.0	78.3	12.0
87	74.8	67.1	22.0
88	94.8	28.3	23.0
89	65.3	27.9	26.0
90	40.6	91.8	10.0
91	59.1	33.5	26.0
92	30.9	94.9	25.0
93	74.3	78.3	28.0
94	35.2	55.0	26.0
95	36.6	7.8	21.0
96	5.5	87.1	24.0
97	89.8	34.3	25.0
98	91.4	45.5	10.0
99	71.4	22.1	22.0
100	43.7	42.9	15.0
